player,pie,followers,salary
Udonis Haslem,-0.056,395910,2905851
Sam Merrill,-0.032,6817,1105522
Frank Jackson,-0.026,33230,113114
Alex Len,0.02,17008,3918600
Mac McClung,0.024,106285,160856
Danny Green,0.025,629399,11710528
Thanasis Antetokounmpo,0.028,0,1878720
Blake Wesley,0.028,5684,2385480
Sterling Brown,0.031,6981,3122602
KZ Okpala,0.031,3150,1902133
Frank Ntilikina,0.032,88242,2036318
P.J. Tucker,0.032,447,10490000
Kessler Edwards,0.034,3594,1637966
Bryn Forbes,0.035,19848,2298385
Justin Holiday,0.036,30592,5987975
Wesley Matthews,0.038,240671,2905851
Caleb Houstan,0.039,71,2000000
Jake LaRavia,0.039,8440,3047640
Amir Coffey,0.042,10206,3395062
Bryce McGowens,0.042,12154,1461055
Ziaire Williams,0.044,29987,4591680
James Johnson,0.045,0,3841067
Christian Koloko,0.045,14181,1500000
Nerlens Noel,0.046,213430,9391069
PJ Dozier,0.047,19210,784654
Greg Brown III,0.047,22305,1563518
James Bouknight,0.048,13373,4362240
Matt Ryan,0.048,9123,806097
Ochai Agbaji,0.049,33774,3918360
JT Thor,0.05,4792,1563518
Austin Rivers,0.05,285024,2905851
Khem Birch,0.05,14925,6667500
Duncan Robinson,0.051,48147,16902000
Cody Martin,0.052,6072,7000000
Andre Iguodala,0.052,1362978,2905851
MarJon Beauchamp,0.052,38616,2485200
Joshua Primo,0.053,10723,4144320
Reggie Bullock,0.053,110606,10012800
Aaron Holiday,0.054,0,1968175
Omer Yurtseven,0.054,15608,1752638
Gabe Vincent,0.054,11171,1815677
Evan Fournier,0.055,371163,18000000
Juan Toscano-Anderson,0.055,138825,2133278
Dorian Finney-Smith,0.055,24913,12939848
Patrick Beverley,0.055,441180,13801614
Garrett Temple,0.056,0,5155500
Malachi Flynn,0.056,13097,2145720
TyTy Washington Jr.,0.056,35816,2210040
Matisse Thybulle,0.056,96138,4379526
Maxi Kleber,0.057,19741,9000000
Aaron Nesmith,0.057,24632,3804360
Danuel House Jr.,0.058,17959,4105000
David Roddy,0.058,8553,2588640
